EpsgNumber|CrsName|AreaName
3613|NAD83(NSRS2007) / New Hampshire|USA - New Hampshire
3614|NAD83(NSRS2007) / New Hampshire (ftUS)|USA - New Hampshire
3615|NAD83(NSRS2007) / New Jersey|USA - New Jersey
3616|NAD83(NSRS2007) / New Jersey (ftUS)|USA - New Jersey
3617|NAD83(NSRS2007) / New Mexico Central|USA - New Mexico - SPCS83 - C
3618|NAD83(NSRS2007) / New Mexico Central (ftUS)|USA - New Mexico - SPCS83 - C
3619|NAD83(NSRS2007) / New Mexico East|USA - New Mexico - SPCS - E
3620|NAD83(NSRS2007) / New Mexico East (ftUS)|USA - New Mexico - SPCS - E
3621|NAD83(NSRS2007) / New Mexico West|USA - New Mexico - SPCS83 - W
3622|NAD83(NSRS2007) / New Mexico West (ftUS)|USA - New Mexico - SPCS83 - W
3623|NAD83(NSRS2007) / New York Central|USA - New York - SPCS - C
3624|NAD83(NSRS2007) / New York Central (ftUS)|USA - New York - SPCS - C
3625|NAD83(NSRS2007) / New York East|USA - New York - SPCS - E
3626|NAD83(NSRS2007) / New York East (ftUS)|USA - New York - SPCS - E
3627|NAD83(NSRS2007) / New York Long Island|USA - New York - SPCS - Long Island
3628|NAD83(NSRS2007) / New York Long Island (ftUS)|USA - New York - SPCS - Long Island
3629|NAD83(NSRS2007) / New York West|USA - New York - SPCS - W
3630|NAD83(NSRS2007) / New York West (ftUS)|USA - New York - SPCS - W
3631|NAD83(NSRS2007) / North Carolina|USA - North Carolina
3632|NAD83(NSRS2007) / North Carolina (ftUS)|USA - North Carolina
3633|NAD83(NSRS2007) / North Dakota North|USA - North Dakota - SPCS - N
3634|NAD83(NSRS2007) / North Dakota North (ft)|USA - North Dakota - SPCS - N
3635|NAD83(NSRS2007) / North Dakota South|USA - North Dakota - SPCS - S
3636|NAD83(NSRS2007) / North Dakota South (ft)|USA - North Dakota - SPCS - S
3637|NAD83(NSRS2007) / Ohio North|USA - Ohio - SPCS - N
3638|NAD83(NSRS2007) / Ohio South|USA - Ohio - SPCS - S
3639|NAD83(NSRS2007) / Oklahoma North|USA - Oklahoma - SPCS - N
3640|NAD83(NSRS2007) / Oklahoma North (ftUS)|USA - Oklahoma - SPCS - N
3641|NAD83(NSRS2007) / Oklahoma South|USA - Oklahoma - SPCS - S
3642|NAD83(NSRS2007) / Oklahoma South (ftUS)|USA - Oklahoma - SPCS - S
3643|NAD83(NSRS2007) / Oregon LCC (m)|USA - Oregon
3644|NAD83(NSRS2007) / Oregon GIC Lambert (ft)|USA - Oregon
3645|NAD83(NSRS2007) / Oregon North|USA - Oregon - SPCS - N
3646|NAD83(NSRS2007) / Oregon North (ft)|USA - Oregon - SPCS - N
3647|NAD83(NSRS2007) / Oregon South|USA - Oregon - SPCS - S
3648|NAD83(NSRS2007) / Oregon South (ft)|USA - Oregon - SPCS - S
3649|NAD83(NSRS2007) / Pennsylvania North|USA - Pennsylvania - SPCS - N
3650|NAD83(NSRS2007) / Pennsylvania North (ftUS)|USA - Pennsylvania - SPCS - N
3651|NAD83(NSRS2007) / Pennsylvania South|USA - Pennsylvania - SPCS - S
3652|NAD83(NSRS2007) / Pennsylvania South (ftUS)|USA - Pennsylvania - SPCS - S
3653|NAD83(NSRS2007) / Rhode Island|USA - Rhode Island
3654|NAD83(NSRS2007) / Rhode Island (ftUS)|USA - Rhode Island
3655|NAD83(NSRS2007) / South Carolina|USA - South Carolina
3656|NAD83(NSRS2007) / South Carolina (ft)|USA - South Carolina
3657|NAD83(NSRS2007) / South Dakota North|USA - South Dakota - SPCS - N
3658|NAD83(NSRS2007) / South Dakota North (ftUS)|USA - South Dakota - SPCS - N
3659|NAD83(NSRS2007) / South Dakota South|USA - South Dakota - SPCS - S
3660|NAD83(NSRS2007) / South Dakota South (ftUS)|USA - South Dakota - SPCS - S
3661|NAD83(NSRS2007) / Tennessee|USA - Tennessee
3662|NAD83(NSRS2007) / Tennessee (ftUS)|USA - Tennessee
3663|NAD83(NSRS2007) / Texas Central|USA - Texas - SPCS - C
3664|NAD83(NSRS2007) / Texas Central (ftUS)|USA - Texas - SPCS - C
3665|NAD83(NSRS2007) / Texas Centric Albers Equal Area|USA - Texas
3666|NAD83(NSRS2007) / Texas Centric Lambert Conformal|USA - Texas
3667|NAD83(NSRS2007) / Texas North|USA - Texas - SPCS - N
3668|NAD83(NSRS2007) / Texas North (ftUS)|USA - Texas - SPCS - N
3669|NAD83(NSRS2007) / Texas North Central|USA - Texas - SPCS - NC
3670|NAD83(NSRS2007) / Texas North Central (ftUS)|USA - Texas - SPCS - NC
3671|NAD83(NSRS2007) / Texas South|USA - Texas - SPCS83 - S
3672|NAD83(NSRS2007) / Texas South (ftUS)|USA - Texas - SPCS83 - S
3673|NAD83(NSRS2007) / Texas South Central|USA - Texas - SPCS83 - SC
3674|NAD83(NSRS2007) / Texas South Central (ftUS)|USA - Texas - SPCS83 - SC
3675|NAD83(NSRS2007) / Utah Central|USA - Utah - SPCS - C
3676|NAD83(NSRS2007) / Utah Central (ft)|USA - Utah - SPCS - C
3677|NAD83(NSRS2007) / Utah Central (ftUS)|USA - Utah - SPCS - C
3678|NAD83(NSRS2007) / Utah North|USA - Utah - SPCS - N
3679|NAD83(NSRS2007) / Utah North (ft)|USA - Utah - SPCS - N
3680|NAD83(NSRS2007) / Utah North (ftUS)|USA - Utah - SPCS - N
3681|NAD83(NSRS2007) / Utah South|USA - Utah - SPCS - S
3682|NAD83(NSRS2007) / Utah South (ft)|USA - Utah - SPCS - S
3683|NAD83(NSRS2007) / Utah South (ftUS)|USA - Utah - SPCS - S
3684|NAD83(NSRS2007) / Vermont|USA - Vermont
3685|NAD83(NSRS2007) / Virginia North|USA - Virginia - SPCS - N
3686|NAD83(NSRS2007) / Virginia North (ftUS)|USA - Virginia - SPCS - N
3687|NAD83(NSRS2007) / Virginia South|USA - Virginia - SPCS - S
3688|NAD83(NSRS2007) / Virginia South (ftUS)|USA - Virginia - SPCS - S
3689|NAD83(NSRS2007) / Washington North|USA - Washington - SPCS83 - N
3690|NAD83(NSRS2007) / Washington North (ftUS)|USA - Washington - SPCS83 - N
3691|NAD83(NSRS2007) / Washington South|USA - Washington - SPCS83 - S
3692|NAD83(NSRS2007) / Washington South (ftUS)|USA - Washington - SPCS83 - S
3693|NAD83(NSRS2007) / West Virginia North|USA - West Virginia - SPCS - N
3694|NAD83(NSRS2007) / West Virginia South|USA - West Virginia - SPCS - S
3695|NAD83(NSRS2007) / Wisconsin Central|USA - Wisconsin - SPCS - C
3696|NAD83(NSRS2007) / Wisconsin Central (ftUS)|USA - Wisconsin - SPCS - C
3697|NAD83(NSRS2007) / Wisconsin North|USA - Wisconsin - SPCS - N
3698|NAD83(NSRS2007) / Wisconsin North (ftUS)|USA - Wisconsin - SPCS - N
3699|NAD83(NSRS2007) / Wisconsin South|USA - Wisconsin - SPCS - S
3700|NAD83(NSRS2007) / Wisconsin South (ftUS)|USA - Wisconsin - SPCS - S
3701|NAD83(NSRS2007) / Wisconsin Transverse Mercator|USA - Wisconsin
3702|NAD83(NSRS2007) / Wyoming East|USA - Wyoming - SPCS - E
3703|NAD83(NSRS2007) / Wyoming East Central|USA - Wyoming - SPCS - EC
3704|NAD83(NSRS2007) / Wyoming West Central|USA - Wyoming - SPCS - WC
3705|NAD83(NSRS2007) / Wyoming West|USA - Wyoming - SPCS - W
3706|NAD83(NSRS2007) / UTM zone 59N|USA - west of 174°E - AK, OCS
3707|NAD83(NSRS2007) / UTM zone 60N|USA - 174°E to 180°E - AK, OCS
3708|NAD83(NSRS2007) / UTM zone 1N|USA - 180°W to 174°W - AK, OCS
3709|NAD83(NSRS2007) / UTM zone 2N|USA - 174°W to 168°W - AK, OCS
3710|NAD83(NSRS2007) / UTM zone 3N|USA - 168°W to 162°W - AK, OCS
3711|NAD83(NSRS2007) / UTM zone 4N|USA - 162°W to 156°W - AK, OCS
3712|NAD83(NSRS2007) / UTM zone 5N|USA - 156°W to 150°W - AK, OCS
3713|NAD83(NSRS2007) / UTM zone 6N|USA - 150°W to 144°W - AK, OCS
3714|NAD83(NSRS2007) / UTM zone 7N|USA - 144°W to 138°W
3715|NAD83(NSRS2007) / UTM zone 8N|USA - 138°W to 132°W
3716|NAD83(NSRS2007) / UTM zone 9N|USA - 132°W to 126°W
3717|NAD83(NSRS2007) / UTM zone 10N|USA - 126°W to 120°W
3718|NAD83(NSRS2007) / UTM zone 11N|USA - 120°W to 114°W
3719|NAD83(NSRS2007) / UTM zone 12N|USA - 114°W to 108°W
3720|NAD83(NSRS2007) / UTM zone 13N|USA - 108°W to 102°W
3721|NAD83(NSRS2007) / UTM zone 14N|USA - 102°W to 96°W
3722|NAD83(NSRS2007) / UTM zone 15N|USA - 96°W to 90°W
3723|NAD83(NSRS2007) / UTM zone 16N|USA - 90°W to 84°W
3724|NAD83(NSRS2007) / UTM zone 17N|USA - 84°W to 78°W
3725|NAD83(NSRS2007) / UTM zone 18N|USA - 78°W to 72°W
3726|NAD83(NSRS2007) / UTM zone 19N|USA - 72°W to 66°W
3727|Reunion 1947 / TM Reunion|Reunion - onshore
3728|NAD83(NSRS2007) / Ohio North (ftUS)|USA - Ohio - SPCS - N
3729|NAD83(NSRS2007) / Ohio South (ftUS)|USA - Ohio - SPCS - S
3730|NAD83(NSRS2007) / Wyoming East (ftUS)|USA - Wyoming - SPCS - E
3731|NAD83(NSRS2007) / Wyoming East Central (ftUS)|USA - Wyoming - SPCS - EC
3732|NAD83(NSRS2007) / Wyoming West Central (ftUS)|USA - Wyoming - SPCS - WC
3733|NAD83(NSRS2007) / Wyoming West (ftUS)|USA - Wyoming - SPCS - W
3734|NAD83 / Ohio North (ftUS)|USA - Ohio - SPCS - N
3735|NAD83 / Ohio South (ftUS)|USA - Ohio - SPCS - S
3736|NAD83 / Wyoming East (ftUS)|USA - Wyoming - SPCS - E
3737|NAD83 / Wyoming East Central (ftUS)|USA - Wyoming - SPCS - EC
3738|NAD83 / Wyoming West Central (ftUS)|USA - Wyoming - SPCS - WC
3739|NAD83 / Wyoming West (ftUS)|USA - Wyoming - SPCS - W
3740|NAD83(HARN) / UTM zone 10N|USA - 126°W to 120°W onshore
3741|NAD83(HARN) / UTM zone 11N|USA - 120°W to 114°W onshore
3742|NAD83(HARN) / UTM zone 12N|USA - 114°W to 108°W
3743|NAD83(HARN) / UTM zone 13N|USA - 108°W to 102°W
3744|NAD83(HARN) / UTM zone 14N|USA - 102°W to 96°W onshore
3745|NAD83(HARN) / UTM zone 15N|USA - 96°W to 90°W onshore
3746|NAD83(HARN) / UTM zone 16N|USA - 90°W to 84°W onshore
3747|NAD83(HARN) / UTM zone 17N|USA - 84°W to 78°W onshore
3748|NAD83(HARN) / UTM zone 18N|USA - 78°W to 72°W onshore
3749|NAD83(HARN) / UTM zone 19N|USA - 72°W to 66°W onshore
3750|NAD83(HARN) / UTM zone 4N|USA - 162°W to 156°W  onshore - HI
3751|NAD83(HARN) / UTM zone 5N|USA - 156°W to 150°W onshore - HI
3752|WGS 84 / Mercator 41|New Zealand - offshore Pacific Ocean, Southern Ocean
3753|NAD83(HARN) / Ohio North (ftUS)|USA - Ohio - SPCS - N
3754|NAD83(HARN) / Ohio South (ftUS)|USA - Ohio - SPCS - S
3755|NAD83(HARN) / Wyoming East (ftUS)|USA - Wyoming - SPCS - E
3756|NAD83(HARN) / Wyoming East Central (ftUS)|USA - Wyoming - SPCS - EC
3757|NAD83(HARN) / Wyoming West Central (ftUS)|USA - Wyoming - SPCS - WC
3758|NAD83(HARN) / Wyoming West (ftUS)|USA - Wyoming - SPCS - W
3759|NAD83 / Hawaii zone 3 (ftUS)|USA - Hawaii - Oahu - onshore
3760|NAD83(HARN) / Hawaii zone 3 (ftUS)|USA - Hawaii - Oahu - onshore
3761|NAD83(CSRS) / UTM zone 22N|Canada - 54°W to 48°W
3762|WGS 84 / South Georgia Lambert|South Georgia - onshore
3763|ETRS89 / Portugal TM06|Portugal - mainland - onshore
3764|NZGD2000 / Chatham Island Circuit 2000|New Zealand - Chatham Islands group
3765|HTRS96 / Croatia TM|Croatia - onshore
3766|HTRS96 / Croatia LCC|Croatia
3767|HTRS96 / UTM zone 33N|Croatia - west of 18°E
3768|HTRS96 / UTM zone 34N|Croatia - east of 18°E
3769|Bermuda 1957 / UTM zone 20N|Bermuda - onshore
3770|BDA2000 / Bermuda 2000 National Grid|Bermuda
3771|NAD27 / Alberta 3TM ref merid 111 W|Canada - Alberta - east of 112.5°W
3772|NAD27 / Alberta 3TM ref merid 114 W|Canada - Alberta - 115.5°W to 112.5°W
3773|NAD27 / Alberta 3TM ref merid 117 W|Canada - Alberta - 118.5°W to 115.5°W
3774|NAD27 / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3775|NAD83 / Alberta 3TM ref merid 111 W|Canada - Alberta - east of 112.5°W
3776|NAD83 / Alberta 3TM ref merid 114 W|Canada - Alberta - 115.5°W to 112.5°W
3777|NAD83 / Alberta 3TM ref merid 117 W|Canada - Alberta - 118.5°W to 115.5°W
3778|NAD83 / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3779|NAD83(CSRS) / Alberta 3TM ref merid 111 W|Canada - Alberta - east of 112.5°W
3780|NAD83(CSRS) / Alberta 3TM ref merid 114 W|Canada - Alberta - 115.5°W to 112.5°W
3781|NAD83(CSRS) / Alberta 3TM ref merid 117 W|Canada - Alberta - 118.5°W to 115.5°W
3782|NAD83(CSRS) / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3783|Pitcairn 2006 / Pitcairn TM 2006|Pitcairn - Pitcairn Island
3784|Pitcairn 1967 / UTM zone 9S|Pitcairn - Pitcairn Island
3785|Popular Visualisation CRS / Mercator|World - 85°S to 85°N
3786|World Equidistant Cylindrical (Sphere)|World
3787|MGI / Slovene National Grid|Slovenia
3788|NZGD2000 / Auckland Islands TM 2000|New Zealand - Snares and Auckland Islands
3789|NZGD2000 / Campbell Island TM 2000|New Zealand - Campbell Island
3790|NZGD2000 / Antipodes Islands TM 2000|New Zealand - Antipodes and Bounty Islands
3791|NZGD2000 / Raoul Island TM 2000|New Zealand - Raoul and Kermadec Islands
3793|NZGD2000 / Chatham Islands TM 2000|New Zealand - Chatham Islands group
3794|Slovenia 1996 / Slovene National Grid|Slovenia
3795|NAD27 / Cuba Norte|Cuba - onshore north of 21°30&#39;N
3796|NAD27 / Cuba Sur|Cuba - onshore south of 21°30&#39;N
3797|NAD27 / MTQ Lambert|Canada - Quebec
3798|NAD83 / MTQ Lambert|Canada - Quebec
3799|NAD83(CSRS) / MTQ Lambert|Canada - Quebec
3800|NAD27 / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3801|NAD83 / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3802|NAD83(CSRS) / Alberta 3TM ref merid 120 W|Canada - Alberta - west of 118.5°W
3812|ETRS89 / Belgian Lambert 2008|Belgium - onshore
3814|NAD83 / Mississippi TM|USA - Mississippi
3815|NAD83(HARN) / Mississippi TM|USA - Mississippi
3816|NAD83(NSRS2007) / Mississippi TM|USA - Mississippi
3819|HD1909|Hungary
3821|TWD67|Taiwan - onshore
3822|TWD97|Taiwan
3823|TWD97|Taiwan
3824|TWD97|Taiwan
3825|TWD97 / TM2 zone 119|Taiwan - 118°E to 120°E
3826|TWD97 / TM2 zone 121|Taiwan - 120°E to 122°E
3827|TWD67 / TM2 zone 119|Taiwan - 118°E to 120°E onshore
3828|TWD67 / TM2 zone 121|Taiwan - 120°E to 122°E onshore
3829|Hu Tzu Shan 1950 / UTM zone 51N|Taiwan - onshore
3832|WGS 84 / PDC Mercator|Pacific Ocean
3833|Pulkovo 1942(58) / Gauss-Kruger zone 2|Germany - East Germany - west of 12°E
3834|Pulkovo 1942(83) / Gauss-Kruger zone 2|Germany - East Germany - west of 12°E
3835|Pulkovo 1942(83) / Gauss-Kruger zone 3|Europe - 12°E to 18°E onshore and S-42(83) by country
3836|Pulkovo 1942(83) / Gauss-Kruger zone 4|Europe - 18°E to 24°E onshore and S-42(83) by country
3837|Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 3|Germany - East Germany - west of 10.5°E
3838|Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 4|Europe - 10.5°E to 13.5°E onshore by country
3839|Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 9|Europe - 25.5°E to 28.5°E onshore and S-42(58) by country
3840|Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 10|Europe - 28.5°E to 31.5°E onshore and S-42(58) by country
3841|Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 6|Europe - 16.5°E to 19.5°E onshore and S-42(83) by country
3842|Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 7|Europe - 19.5°E to 22.5°E onshore and S-42(83) by country
3843|Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 8|Europe - 22.5°E to 25.5°E onshore and S-42(83) by country
3844|Pulkovo 1942(58) / Stereo70|Romania
3845|SWEREF99 / RT90 7.5 gon V emulation|Sweden - 7.5 gon W
3846|SWEREF99 / RT90 5 gon V emulation|Sweden - 5 gon W
3847|SWEREF99 / RT90 2.5 gon V emulation|Sweden - 2.5 gon W
3848|SWEREF99 / RT90 0 gon emulation|Sweden - 0 gon
3849|SWEREF99 / RT90 2.5 gon O emulation|Sweden - 2.5 gon E
3850|SWEREF99 / RT90 5 gon O emulation|Sweden - 5 gon E
3851|NZGD2000 / NZCS2000|New Zealand - offshore
3852|RSRGD2000 / DGLC2000|Antarctica - Darwin Glacier region
3854|County ST74|Sweden - Stockholm county
3855|EGM2008 height|World
3857|WGS 84 / Pseudo-Mercator|World - 85°S to 85°N
3873|ETRS89 / GK19FIN|Finland - west of 19.5°E onshore nominal
3874|ETRS89 / GK20FIN|Finland - 19.5°E to 20.5°E onshore nominal
3875|ETRS89 / GK21FIN|Finland - 20.5°E to 21.5°E onshore nominal
3876|ETRS89 / GK22FIN|Finland - 21.5°E to 22.5°E onshore nominal
3877|ETRS89 / GK23FIN|Finland - 22.5°E to 23.5°E onshore nominal
3878|ETRS89 / GK24FIN|Finland - 23.5°E to 24.5°E onshore nominal
3879|ETRS89 / GK25FIN|Finland - 24.5°E to 25.5°E onshore nominal
3880|ETRS89 / GK26FIN|Finland - 25.5°E to 26.5°E onshore nominal
3881|ETRS89 / GK27FIN|Finland - 26.5°E to 27.5°E onshore nominal
3882|ETRS89 / GK28FIN|Finland - 27.5°E to 28.5°E onshore nominal
3883|ETRS89 / GK29FIN|Finland - 28.5°E to 29.5°E nominal
3884|ETRS89 / GK30FIN|Finland - 29.5°E to 30.5°E nominal
3885|ETRS89 / GK31FIN|Finland - east of 30.5°E nominal
3886|Fao 1979 height|Iraq - onshore
3887|IGRS|Iraq
3888|IGRS|Iraq
3889|IGRS|Iraq
3890|IGRS / UTM zone 37N|Iraq - west of 42°E
3891|IGRS / UTM zone 38N|Iraq - 42°E to 48°E
3892|IGRS / UTM zone 39N|Iraq - east of 48°E
3893|ED50 / Iraq National Grid|Iraq - onshore
3900|N2000 height|Finland - onshore
3901|KKJ / Finland Uniform Coordinate System + N60 height|Finland - onshore
3902|ETRS89 / TM35FIN(N,E) + N60 height|Finland - onshore
3903|ETRS89 / TM35FIN(N,E) + N2000 height|Finland - onshore
3906|MGI 1901|Europe - former Yugoslavia onshore
3907|MGI 1901 / Balkans zone 5|Europe - former Yugoslavia onshore west of 16.5°E
3908|MGI 1901 / Balkans zone 6|Europe - former Yugoslavia onshore 16.5°E to 19.5°E
3909|MGI 1901 / Balkans zone 7|Europe - former Yugoslavia onshore 19.5°E to 22.5°E
3910|MGI 1901 / Balkans zone 8|Europe - former Yugoslavia onshore east of 22.5°E
3911|MGI 1901 / Slovenia Grid|Slovenia
3912|MGI 1901 / Slovene National Grid|Slovenia
3920|Puerto Rico / UTM zone 20N|Virgin Islands, British - onshore
3942|RGF93 / CC42|France - mainland south of 43°N and Corsica
3943|RGF93 / CC43|France - mainland south of 44°N
3944|RGF93 / CC44|France - mainland - 43°N to 45°N
3945|RGF93 / CC45|France - mainland - 44°N to 46°N
3946|RGF93 / CC46|France - mainland - 45°N to 47°N
3947|RGF93 / CC47|France - mainland - 46°N to 48°N
3948|RGF93 / CC48|France - mainland - 47°N to 49°N
3949|RGF93 / CC49|France - mainland - 48°N to 50°N
3950|RGF93 / CC50|France - mainland north of 49°N
3968|NAD83 / Virginia Lambert|USA - Virginia
3969|NAD83(HARN) / Virginia Lambert|USA - Virginia
3970|NAD83(NSRS2007) / Virginia Lambert|USA - Virginia
3973|WGS 84 / NSIDC EASE-Grid North|World - north of 0°N
3974|WGS 84 / NSIDC EASE-Grid South|World - south of 0°N
3975|WGS 84 / NSIDC EASE-Grid Global|World - 86°S to 86°N
3976|WGS 84 / NSIDC Sea Ice Polar Stereographic South|World - S hemisphere - south of 60°S
3978|NAD83 / Canada Atlas Lambert|Canada
3979|NAD83(CSRS) / Canada Atlas Lambert|Canada
3985|Katanga 1955 / Katanga Lambert|Congo DR (Zaire) - Katanga
3986|Katanga 1955 / Katanga Gauss zone A|Congo DR (Zaire) - Katanga east of 28.5°E
3987|Katanga 1955 / Katanga Gauss zone B|Congo DR (Zaire) - Katanga 26.5°E to 29.5°E
3988|Katanga 1955 / Katanga Gauss zone C|Congo DR (Zaire) - Katanga 24.5°E to 27.5°E
3989|Katanga 1955 / Katanga Gauss zone D|Congo DR (Zaire) - Katanga west of 25.5°E
3991|Puerto Rico State Plane CS of 1927|Puerto Rico - onshore
3992|Puerto Rico / St. Croix|Virgin Islands, US - onshore
3993|Guam 1963 / Guam SPCS|Guam - onshore
3994|WGS 84 / Mercator 41|New Zealand - offshore Pacific Ocean, Southern Ocean
3995|WGS 84 / Arctic Polar Stereographic|World - N hemisphere - north of 60°N
3996|WGS 84 / IBCAO Polar Stereographic|World - N hemisphere - north of 60°N
3997|WGS 84 / Dubai Local TM|UAE - Dubai municipality
4000|MOLDREF99|Moldova
4001|Unknown datum based upon the Airy 1830 ellipsoid|Not specified
4002|Unknown datum based upon the Airy Modified 1849 ellipsoid|Not specified
4003|Unknown datum based upon the Australian National Spheroid|Not specified
4004|Unknown datum based upon the Bessel 1841 ellipsoid|Not specified
4005|Unknown datum based upon the Bessel Modified ellipsoid|Not specified
4006|Unknown datum based upon the Bessel Namibia ellipsoid|Not specified
4007|Unknown datum based upon the Clarke 1858 ellipsoid|Not specified
4008|Unknown datum based upon the Clarke 1866 ellipsoid|Not specified
4009|Unknown datum based upon the Clarke 1866 Michigan ellipsoid|Not specified
4010|Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid|Not specified
4011|Unknown datum based upon the Clarke 1880 (IGN) ellipsoid|Not specified
4012|Unknown datum based upon the Clarke 1880 (RGS) ellipsoid|Not specified
4013|Unknown datum based upon the Clarke 1880 (Arc) ellipsoid|Not specified
4014|Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid|Not specified
4015|Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid|Not specified
4016|Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid|Not specified
4017|MOLDREF99|Moldova
4018|Unknown datum based upon the Everest 1830 Modified ellipsoid|Not specified
4019|Unknown datum based upon the GRS 1980 ellipsoid|Not specified
4020|Unknown datum based upon the Helmert 1906 ellipsoid|Not specified
4021|Unknown datum based upon the Indonesian National Spheroid|Not specified
4022|Unknown datum based upon the International 1924 ellipsoid|Not specified
4023|MOLDREF99|Moldova
4024|Unknown datum based upon the Krassowsky 1940 ellipsoid|Not specified
4025|Unknown datum based upon the NWL 9D ellipsoid|Not specified
4026|MOLDREF99 / Moldova TM|Moldova
4027|Unknown datum based upon the Plessis 1817 ellipsoid|Not specified
4028|Unknown datum based upon the Struve 1860 ellipsoid|Not specified
4029|Unknown datum based upon the War Office ellipsoid|Not specified
4030|Unknown datum based upon the WGS 84 ellipsoid|Not specified
4031|Unknown datum based upon the GEM 10C ellipsoid|Not specified
4032|Unknown datum based upon the OSU86F ellipsoid|Not specified
4033|Unknown datum based upon the OSU91A ellipsoid|Not specified
4034|Unknown datum based upon the Clarke 1880 ellipsoid|Not specified
4035|Unknown datum based upon the Authalic Sphere|Not specified
4036|Unknown datum based upon the GRS 1967 ellipsoid|Not specified
4037|WGS 84 / TMzn35N|Moldova - west of 30°E
4038|WGS 84 / TMzn36N|Moldova - east of 30°E
4039|RGRDC 2005|Congo DR (Zaire) - south
4040|RGRDC 2005|Congo DR (Zaire) - south
4041|Unknown datum based upon the Average Terrestrial System 1977 ellipsoid|Not specified
4042|Unknown datum based upon the Everest (1830 Definition) ellipsoid|Not specified
4043|Unknown datum based upon the WGS 72 ellipsoid|Not specified
4044|Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid|Not specified
4045|Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid|Not specified
4046|RGRDC 2005|Congo DR (Zaire) - south
4047|Unspecified datum based upon the GRS 1980 Authalic Sphere|Not specified
4048|RGRDC 2005 / Congo TM zone 12|Congo DR (Zaire) - 11°E to 13°E
4049|RGRDC 2005 / Congo TM zone 14|Congo DR (Zaire) - 13°E to 15°E
4050|RGRDC 2005 / Congo TM zone 16|Congo DR (Zaire) - south and 15°E to 17°E
4051|RGRDC 2005 / Congo TM zone 18|Congo DR (Zaire) - south and 17°E and 19°E
4052|Unspecified datum based upon the Clarke 1866 Authalic Sphere|Not specified
4053|Unspecified datum based upon the International 1924 Authalic Sphere|Not specified
4054|Unspecified datum based upon the Hughes 1980 ellipsoid|Not specified
4055|Popular Visualisation CRS|World
4056|RGRDC 2005 / Congo TM zone 20|Congo DR (Zaire) - south and 19°E to 21°E
4057|RGRDC 2005 / Congo TM zone 22|Congo DR (Zaire) - south and 21°E to 23°E
4058|RGRDC 2005 / Congo TM zone 24|Congo DR (Zaire) - south and 23°E to 25°E
4059|RGRDC 2005 / Congo TM zone 26|Congo DR (Zaire) - south and 25°E to 27°E
4060|RGRDC 2005 / Congo TM zone 28|Congo DR (Zaire) - south and 27°E to 29°E
4061|RGRDC 2005 / UTM zone 33S|Congo DR (Zaire) - south and 12°E to 18°E
4062|RGRDC 2005 / UTM zone 34S|Congo DR (Zaire) - south and 18°E to 24°E
4063|RGRDC 2005 / UTM zone 35S|Congo DR (Zaire) - south and 24°E to 30°E
4071|Chua / UTM zone 23S|Brazil - Distrito Federal
4073|SREF98|Serbia
4074|SREF98|Serbia
4075|SREF98|Serbia
4079|REGCAN95|Spain - Canary Islands
4080|REGCAN95|Spain - Canary Islands
4081|REGCAN95|Spain - Canary Islands
4082|REGCAN95 / UTM zone 27N|Spain - Canary Islands - west of 18°W
4083|REGCAN95 / UTM zone 28N|Spain - Canary Islands - east of 18°W
4087|WGS 84 / World Equidistant Cylindrical|World
4088|World Equidistant Cylindrical (Sphere)|World
4093|ETRS89 / DKTM1|Denmark - onshore Jutland west of 10°E
4094|ETRS89 / DKTM2|Denmark - onshore Jutland east of 9°E and Funen
4095|ETRS89 / DKTM3|Denmark - onshore Zealand and Lolland
4096|ETRS89 / DKTM4|Denmark - onshore Bornholm
4097|ETRS89 / DKTM1 + DVR90 height|Denmark - onshore Jutland west of 10°E
4098|ETRS89 / DKTM2 + DVR90 height|Denmark - onshore Jutland east of 9°E and Funen
4099|ETRS89 / DKTM3 + DVR90 height|Denmark - onshore Zealand and Lolland
4100|ETRS89 / DKTM4 + DVR90 height|Denmark - onshore Bornholm
4120|Greek|Greece - onshore
4121|GGRS87|Greece - onshore
4122|ATS77|Canada - Maritime Provinces
4123|KKJ|Finland - onshore
4124|RT90|Sweden
4125|Samboja|Indonesia - Kalimantan - Mahakam delta
4126|LKS94 (ETRS89)|Lithuania
